יוצא מידי
פשוטו 0.55493
דופיו 0.03213
דמו 0.01919
דפיו 0.01732
מזבח 0.01036

בעלי רמה
גבוהה 0.12432
תרבותית 0.06181
אינטלקטואלית 0.03639
מוסרית 0.03587
נמוכה 0.03522

שיש בהן
כדי 0.09832
משום 0.06651
גם 0.01191
מעשה 0.01115
חיי 0.00877

ששמע מפי
רבו 0.04701
אביו 0.03283
הרב 0.03068
הגבורה 0.02658
אחרים 0.02047

שיש בכך
משום 0.18725
כדי 0.08299
גם 0.02327
רמז 0.01698
עדות 0.01107

ברירה אלא
לקבל 0.02045
ללכת 0.01369
להמשיך 0.01248
לפנות 0.01116
לחזור 0.01038

הרביץ תורה
ברבים 0.10984
בישראל 0.08051
והעמיד 0.04782
לתלמידים 0.0293
בתלמידים 0.02026

שהיה משה
רבינו 0.06716
כותב 0.03375
אומר 0.02516
עומד 0.01939
בהר 0.01921

פסק הדין
ניתן 0.01425
בעניין 0.01293
במשפט 0.00945
שניתן 0.00754
הראשון 0.0069

קורא בתורה
שבכתב 0.04523
והגיע 0.04194
ומתרגם 0.02261
ונושא 0.01562
בבית 0.01097

בעלי רקע
שונה 0.07524
תרבותי 0.05159
דומה 0.04216
חברתי 0.03656
דתי 0.0249

שנות המלחמה
העולמית 0.01723
הראשונות 0.01243
והשואה 0.0062
— 0.00571
עברו 0.00498

שאינם קשורים
ישירות 0.05148
כלל 0.0353
במישרין 0.02783
דווקא 0.01877
קשר 0.01757

ישב ליד
השולחן 0.14448
שולחן 0.10419
ההגה 0.04043
החלון 0.03584
שולחנו 0.0328

החשובה ביותר
— 0.00827
בתולדות 0.00704
בעולם 0.00626
בתחום 0.00593
בארץ 0.00561

יצא מכלל
שימוש 0.08056
סכנה 0.03973
ארור 0.03552
פעולה 0.02768
שליטה 0.01993

גם הם
גם 0.0044
עצמם 0.00336
צריכים 0.00299
ראו 0.00255
יכולים 0.00253

אפילו לאחר
זמן 0.03818
מיתה 0.02695
מותו 0.02059
שנים 0.01369
יאוש 0.01224

בשם ספר
חסידים 0.02362
בית 0.01218
הישר 0.01166
יצירה 0.01042
התרומה 0.00913

אולי אפילו
קצת 0.00729
פחות 0.00482
רק 0.0046
עוד 0.00409
טוב 0.00344

באותם הימים
הראשונים 0.00522
— 0.00492
עדיין 0.00396
גם 0.00394
ממש 0.00374

גם צד
חיובי 0.04103
שלילי 0.02789
שלישי 0.01842
נוסף 0.01759
טוב 0.01616

לאחר כיבוש
הארץ 0.0851
העיר 0.07559
ירושלים 0.07288
ארץ 0.02385
פולין 0.01851

כלל אינו
יכול 0.03335
חייב 0.01547
קיים 0.01412
מזכיר 0.0115
רוצה 0.00986

שמא יבא
לידי 0.13928
עליה 0.04087
לאכלו 0.03078
לאכול 0.02604
אליהו 0.0259

בתקופת העליה
השניה 0.28475
הרביעית 0.15494
הראשונה 0.10662
השלישית 0.10358
ההמונית 0.02479

גם פה
וגם 0.05021
ושם 0.02424
גם 0.0184
בארץ 0.0096
אנו 0.00592

ובמקומות אחרים
בארץ 0.01877
בעולם 0.00848
— 0.00594
במקרא 0.0035
באירופה 0.00339

חג הפסח
וחג 0.00748
הראשון 0.00416
בירושלים 0.00395
שנת 0.00352
בשנת 0.00349

כך צריך
לומר 0.02369
האדם 0.02347
לעשות 0.01711
שיהיה 0.01398
להבין 0.01194

זמן שהוא
חי 0.04267
הולך 0.01435
עוסק 0.01239
עומד 0.01195
נמצא 0.01164

תחומי החיים
היהודיים 0.0225
הציבוריים 0.01286
— 0.0087
החברתיים 0.00819
השונים 0.00654

גם שר
החוץ 0.0905
הביטחון 0.06884
האוצר 0.05052
המשפטים 0.03278
הפנים 0.03235

שהיו בעלי
השפעה 0.02162
אופי 0.01683
מעמד 0.01568
השכלה 0.01272
מקצוע 0.0118

זמן שהיא
בבית 0.08563
קטנה 0.03788
קיימת 0.01873
מפרכסת 0.01474
תחתיו 0.0122

זמן שהיה
משה 0.03508
קיים 0.01888
חי 0.01623
רוצה 0.01568
יעקב 0.01409

כאשר יראה
הרואה 0.14335
המעיין 0.09774
הקורא 0.08133
האדם 0.02768
בעיניהם 0.0134

משום שאנו
רואים 0.0397
אומרים 0.0311
יודעים 0.03101
רוצים 0.02463
מוצאים 0.01938

משום שאני
רוצה 0.03893
רואה 0.03094
חושב 0.02141
אוהב 0.01906
עצמי 0.01461

בן ארבע
אותיות 0.09424
עשרה 0.07508
שנים 0.05819
קומות 0.03934
מאות 0.03016

שהוא צדיק
גמור 0.1056
בן 0.02059
וישר 0.01566
תמים 0.01357
הדור 0.01297

הם הצליחו
להגיע 0.02766
בכך 0.01662
להשיג 0.01509
ליצור 0.01415
לברוח 0.01308

משום שאין
אנו 0.02356
כאן 0.02109
הם 0.01799
דרך 0.00991
לך 0.00796

ובכל פעם
ופעם 0.02351
שהיה 0.01705
שאני 0.01472
שהוא 0.01137
אני 0.00654

עמק יזרעאל
ועמק 0.01719
המערבי 0.01568
המזרחי 0.01251
והגליל 0.01104
ואת 0.00508

שאנו עושים
היום 0.01864
כאן 0.01147
רצונו 0.01092
עתה 0.00756
עכשיו 0.00721

שמו הגדול
מבורך 0.04075
בעולם 0.02791
והנורא 0.01683
והקדוש 0.01605
יתברך 0.01321

לומר שאינו
רוצה 0.04602
יכול 0.03655
חייב 0.02995
צריך 0.02346
אלא 0.0231

אפשר לאדם
לעשות 0.02672
לזכות 0.0172
להשיג 0.01707
לחיות 0.01558
שלא 0.0143

באחת משתי
הדרכים 0.15534
דרכים 0.13416
האפשרויות 0.02996
אפשרויות 0.02041
הצורות 0.01753

לאחר מות
אביו 0.06015
בעלה 0.03887
האב 0.02962
אשתו 0.02606
שלמה 0.0167

לאחר מכן
— 0.00435
גם 0.00434
הם 0.00356
עבר 0.00355
חזר 0.00352

ואף אינו
יכול 0.0592
רוצה 0.02037
רשאי 0.01771
צריך 0.01705
מסוגל 0.01591

אומץ לב
בלתי 0.012
אזרחי 0.01166
וגבורה 0.0104
ומסירות 0.00842
מיוחד 0.00735

שלושה חודשים
לאחר 0.04251
לפני 0.02937
בלבד 0.01596
קודם 0.01374
מיום 0.00945

זכות אבות
קיימת 0.00704
אינה 0.00658
ואמהות 0.0062
עמדה 0.00609
וזכות 0.00588

בן שלושה
חודשים 0.07081
חדרים 0.04384
חלקים 0.04239
שבועות 0.04231
חברים 0.03692

לאחר מתן
תורה 0.37529
מעות 0.081
פסק 0.06514
הצהרת 0.0194
גזר 0.0148

שאדם יכול
לעשות 0.04601
להגיע 0.02771
לומר 0.01479
להשיג 0.0138
לקבל 0.0134

עשרת הדברות
הם 0.00816
לישראל 0.00581
בדבור 0.00516
בלשון 0.00515
נאמרו 0.00437

נותר אלא
לקוות 0.01923
לקבוע 0.01632
להמתין 0.01401
לקבל 0.01117
לחכות 0.0109

הגיע זמן
קריאת 0.05435
הפרעון 0.02575
קצר 0.02361
הגאולה 0.01799
תפילת 0.01748

חברה יהודית
חדשה 0.07273
בארץ 0.03551
עצמאית 0.02317
מודרנית 0.01565
לאומית 0.01344

שלא להזכיר
כאן 0.02574
כלל 0.01743
שמו 0.01434
יציאת 0.01236
שום 0.00772

יחיד במינו
בעולם 0.01294
בתולדות 0.01151
בספרות 0.00758
בארץ 0.00745
בהיסטוריה 0.00698

הלכה כרבי
יהודה 0.26146
יוסי 0.14944
שמעון 0.10251
אליעזר 0.06779
מאיר 0.05282

בקרב היישוב
היהודי 0.27964
הישן 0.05693
העברי 0.03911
החדש 0.03043
הערבי 0.02657

אולם לאחר
מכן 0.08971
זמן 0.05707
מותו 0.01139
העיון 0.00961
מלחמת 0.00952

אלא נראה
לומר 0.01653
לפרש 0.01649
שהוא 0.0124
ברור 0.00945
שיש 0.00835

לך שום
זכות 0.02621
סיבה 0.024
סיכוי 0.01555
מושג 0.01266
קשר 0.01029

ארצות אירופה
המערבית 0.0413
המזרחית 0.02673
ואמריקה 0.02056
המרכזית 0.00855
— 0.00745

שום מעשה
טוב 0.01589
שהיה 0.015
כלל 0.01466
אלא 0.01085
קנין 0.01046

הרב שלום
משאש 0.04427
גמליאל 0.0384
יצחק 0.03823
שבזי 0.02695
שרעבי 0.02344

נכון גם
לגבי 0.27832
ביחס 0.04106
בנוגע 0.00953
באשר 0.00828
היום 0.00807

אני רואה
אותך 0.01535
שאתה 0.01299
אני 0.00933
לפני 0.00815
חובה 0.00777

ויש מקומות
שנהגו 0.0601
שאין 0.04746
שבהם 0.02378
שלא 0.02309
שאומרים 0.01633

יום הכפורים
מכפר 0.03836
שהוא 0.00673
שחל 0.00531
אינו 0.005
יום 0.00481

אמרה תורה
הבא 0.01837
הביאו 0.01702
מודה 0.01344
שלח 0.01249
אלא 0.01159

פרק שלושים
ואחד 0.07812
ושלושה 0.07807
וארבעה 0.06552
ושמונה 0.05576
ושבעה 0.05481

הנס הגדול
ביותר 0.03984
שנעשה 0.033
שעשה 0.0297
שאירע 0.01797
שקרה 0.01633

אלא אפילו
לדעת 0.00609
אמר 0.00608
שלא 0.00475
בשעה 0.00434
בזמן 0.00331

שתי תקופות
שונות 0.04508
עיקריות 0.02295
אלו 0.0147
בתולדות 0.01374
היסטוריות 0.0128

לחיות חיים
יהודיים 0.0364
טובים 0.03115
מלאים 0.02938
לאומיים 0.02414
עצמאיים 0.02128

שתי מערכות
שונות 0.01696
החינוך 0.01563
ערכים 0.01425
בחירות 0.01376
חינוך 0.01369

בלב שלם
ובנפש 0.05774
ונפש 0.01219
התנדבו 0.00384
— 0.00322
בלי 0.00319

בפני בית
דין 0.22922
הדין 0.12242
המשפט 0.10166
משפט 0.02538
די 0.00471

מאות ושבעים
וארבעה 0.11931
שנה 0.08024
אלף 0.05348
וחמשה 0.05116
וארבע 0.04298

האיש ההוא
מעירו 0.01048
תם 0.00728
מקרב 0.0037
בתתו 0.00335
גם 0.00332

שזה יהיה
צדיק 0.01052
גם 0.00995
רק 0.00985
בסדר 0.00938
קשה 0.00834

אינה רואה
עצמה 0.03407
בעין 0.01887
ואינה 0.01557
אלא 0.01297
צורך 0.01285

באחת מערי
השדה 0.08738
אירופה 0.02825
פולין 0.02377
החוף 0.02101
גרמניה 0.01889

פועל יוצא
מכך 0.01004
לשני 0.00508
לאחרים 0.00501
לשלישי 0.00466
הכרחי 0.00409

עלינו לברר
לעצמנו 0.05438
תחילה 0.03544
מהו 0.01473
עוד 0.01469
האם 0.01342

שאין לעמוד
בפניו 0.2149
בפניה 0.1086
בפניהם 0.03592
בפני 0.03505
נגדו 0.01867

עשרים וחמישה
אלף 0.08491
אחוז 0.02743
אחוזים 0.02686
רובל 0.01892
מיליון 0.0137

אינה רוצה
לקבל 0.01563
לצאת 0.01446
בכך 0.01127
לשמוע 0.01105
ואינה 0.00992

בדבר שאינו
קצוב 0.0818
מוסיף 0.0518
שלו 0.05139
ברשותו 0.02366
חייב 0.02217

ואינם יודעים
כלל 0.02217
כיצד 0.01452
איך 0.01188
שהם 0.00836
מאומה 0.00804

חשוב מאד
בעיני 0.01757
אצל 0.00637
— 0.00602
לדעת 0.0053
בשביל 0.00452

לאחר יום
עבודה 0.12718
הכיפורים 0.03563
העבודה 0.0347
הכפורים 0.02279
טוב 0.02265

ליה רבי
יוחנן 0.07276
יהודה 0.0525
אבא 0.04661
יוסי 0.04652
אלעזר 0.04137

משום שהיה
סבור 0.00929
צריך 0.00888
קשה 0.00816
ברור 0.00763
בן 0.00737

עקיבא ורבי
ישמעאל 0.15013
טרפון 0.14162
מאיר 0.07653
אלעזר 0.05963
יוסי 0.05586

משום שהיא
אינה 0.01174
באה 0.00839
עצמה 0.00729
מאפשרת 0.00611
רוצה 0.00572

משום שהוא
עצמו 0.01476
אינו 0.01095
רואה 0.00864
רוצה 0.00854
סבור 0.00458

הלך וגדל
מספר 0.04948
מיום 0.01664
מספרם 0.01546
בהתמדה 0.01186
משנה 0.01161

שלש עשרה
